cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,cpu_usage_4,cpu_usage_5,cpu_usage_6,cpu_usage_7,cpu_usage_8,cpu_usage_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9,bandwidth_inbound_0,bandwidth_inbound_1,bandwidth_inbound_2,bandwidth_inbound_3,bandwidth_inbound_4,bandwidth_inbound_5,bandwidth_inbound_6,bandwidth_inbound_7,bandwidth_inbound_8,bandwidth_inbound_9,bandwidth_outbound_0,bandwidth_outbound_1,bandwidth_outbound_2,bandwidth_outbound_3,bandwidth_outbound_4,bandwidth_outbound_5,bandwidth_outbound_6,bandwidth_outbound_7,bandwidth_outbound_8,bandwidth_outbound_9,tps_0,tps_1,tps_2,tps_3,tps_4,tps_5,tps_6,tps_7,tps_8,tps_9,response_time_0,response_time_1,response_time_2,response_time_3,response_time_4,response_time_5,response_time_6,response_time_7,response_time_8,response_time_9,status
0.065248,0.057619,0.063051,0.077834,0.096327,0.114387,0.129894,0.139644,0.139007,0.127316,0.545821,0.535316,0.530769,0.532154,0.536291,0.53951,0.540195,0.539411,0.539253,0.540882,4300.157628,3817.72599,3823.729369,4300.171025,4872.920482,5082.589448,4898.731219,4777.021288,5190.247051,6176.253935,3765.339663,3353.173535,3374.547999,3803.650115,4312.033925,4505.962239,4363.067011,4271.735404,4625.110567,5442.869986,1.403161904,1.402965983,1.608162533,1.901467275,2.127043954,2.22896899,2.283002476,2.368684145,2.4414457,2.407486675,653.712213,659.4821371,766.7529083,892.6365293,1030.101335,1226.206911,1477.062305,1642.99354,1529.222534,1107.004069,0
0.057619,0.063051,0.077834,0.096327,0.114387,0.129894,0.139644,0.139007,0.127316,0.111667,0.535316,0.530769,0.532154,0.536291,0.53951,0.540195,0.539411,0.539253,0.540882,0.544333,3817.72599,3823.729369,4300.171025,4872.920482,5082.589448,4898.731219,4777.021288,5190.247051,6176.253935,7351.975923,3353.173535,3374.547999,3803.650115,4312.033925,4505.962239,4363.067011,4271.735404,4625.110567,5442.869986,6399.707729,1.402965983,1.608162533,1.901467275,2.127043954,2.22896899,2.283002476,2.368684145,2.4414457,2.407486675,2.294747057,659.4821371,766.7529083,892.6365293,1030.101335,1226.206911,1477.062305,1642.99354,1529.222534,1107.004069,624.8996855,0
0.063051,0.077834,0.096327,0.114387,0.129894,0.139644,0.139007,0.127316,0.111667,0.103308,0.530769,0.532154,0.536291,0.53951,0.540195,0.539411,0.539253,0.540882,0.544333,0.549377,3823.729369,4300.171025,4872.920482,5082.589448,4898.731219,4777.021288,5190.247051,6176.253935,7351.975923,8300.469563,3374.547999,3803.650115,4312.033925,4505.962239,4363.067011,4271.735404,4625.110567,5442.869986,6399.707729,7164.626824,1.608162533,1.901467275,2.127043954,2.22896899,2.283002476,2.368684145,2.4414457,2.407486675,2.294747057,2.241920818,766.7529083,892.6365293,1030.101335,1226.206911,1477.062305,1642.99354,1529.222534,1107.004069,624.8996855,449.6172675,0
0.077834,0.096327,0.114387,0.129894,0.139644,0.139007,0.127316,0.111667,0.103308,0.110288,0.532154,0.536291,0.53951,0.540195,0.539411,0.539253,0.540882,0.544333,0.549377,0.555333,4300.171025,4872.920482,5082.589448,4898.731219,4777.021288,5190.247051,6176.253935,7351.975923,8300.469563,8858.582945,3803.650115,4312.033925,4505.962239,4363.067011,4271.735404,4625.110567,5442.869986,6399.707729,7164.626824,7635.219688,1.901467275,2.127043954,2.22896899,2.283002476,2.368684145,2.4414457,2.407486675,2.294747057,2.241920818,2.329241983,892.6365293,1030.101335,1226.206911,1477.062305,1642.99354,1529.222534,1107.004069,624.8996855,449.6172675,789.5270998,0
0.096327,0.114387,0.129894,0.139644,0.139007,0.127316,0.111667,0.103308,0.110288,0.131812,0.536291,0.53951,0.540195,0.539411,0.539253,0.540882,0.544333,0.549377,0.555333,0.559895,4872.920482,5082.589448,4898.731219,4777.021288,5190.247051,6176.253935,7351.975923,8300.469563,8858.582945,9012.127319,4312.033925,4505.962239,4363.067011,4271.735404,4625.110567,5442.869986,6399.707729,7164.626824,7635.219688,7821.959463,2.127043954,2.22896899,2.283002476,2.368684145,2.4414457,2.407486675,2.294747057,2.241920818,2.329241983,2.506880704,1030.101335,1226.206911,1477.062305,1642.99354,1529.222534,1107.004069,624.8996855,449.6172675,789.5270998,1553.855155,0
0.114387,0.129894,0.139644,0.139007,0.127316,0.111667,0.103308,0.110288,0.131812,0.158214,0.53951,0.540195,0.539411,0.539253,0.540882,0.544333,0.549377,0.555333,0.559895,0.559781,5082.589448,4898.731219,4777.021288,5190.247051,6176.253935,7351.975923,8300.469563,8858.582945,9012.127319,8721.190097,4505.962239,4363.067011,4271.735404,4625.110567,5442.869986,6399.707729,7164.626824,7635.219688,7821.959463,7676.648173,2.22896899,2.283002476,2.368684145,2.4414457,2.407486675,2.294747057,2.241920818,2.329241983,2.506880704,2.689401635,1226.206911,1477.062305,1642.99354,1529.222534,1107.004069,624.8996855,449.6172675,789.5270998,1553.855155,2431.476153,0
0.129894,0.139644,0.139007,0.127316,0.111667,0.103308,0.110288,0.131812,0.158214,0.177857,0.540195,0.539411,0.539253,0.540882,0.544333,0.549377,0.555333,0.559895,0.559781,0.554083,4898.731219,4777.021288,5190.247051,6176.253935,7351.975923,8300.469563,8858.582945,9012.127319,8721.190097,8103.204071,4363.067011,4271.735404,4625.110567,5442.869986,6399.707729,7164.626824,7635.219688,7821.959463,7676.648173,7246.646374,2.283002476,2.368684145,2.4414457,2.407486675,2.294747057,2.241920818,2.329241983,2.506880704,2.689401635,2.843961185,1477.062305,1642.99354,1529.222534,1107.004069,624.8996855,449.6172675,789.5270998,1553.855155,2431.476153,3077.919303,0
0.139644,0.139007,0.127316,0.111667,0.103308,0.110288,0.131812,0.158214,0.177857,0.184222,0.539411,0.539253,0.540882,0.544333,0.549377,0.555333,0.559895,0.559781,0.554083,0.546079,4777.021288,5190.247051,6176.253935,7351.975923,8300.469563,8858.582945,9012.127319,8721.190097,8103.204071,7596.119967,4271.735404,4625.110567,5442.869986,6399.707729,7164.626824,7635.219688,7821.959463,7676.648173,7246.646374,6843.401814,2.368684145,2.4414457,2.407486675,2.294747057,2.241920818,2.329241983,2.506880704,2.689401635,2.843961185,2.956591069,1642.99354,1529.222534,1107.004069,624.8996855,449.6172675,789.5270998,1553.855155,2431.476153,3077.919303,3268.210303,1
0.139007,0.127316,0.111667,0.103308,0.110288,0.131812,0.158214,0.177857,0.184222,0.176939,0.539253,0.540882,0.544333,0.549377,0.555333,0.559895,0.559781,0.554083,0.546079,0.540433,5190.247051,6176.253935,7351.975923,8300.469563,8858.582945,9012.127319,8721.190097,8103.204071,7596.119967,7580.288758,4625.110567,5442.869986,6399.707729,7164.626824,7635.219688,7821.959463,7676.648173,7246.646374,6843.401814,6769.206032,2.4414457,2.407486675,2.294747057,2.241920818,2.329241983,2.506880704,2.689401635,2.843961185,2.956591069,2.975941643,1529.222534,1107.004069,624.8996855,449.6172675,789.5270998,1553.855155,2431.476153,3077.919303,3268.210303,2983.64592,0
0.127316,0.111667,0.103308,0.110288,0.131812,0.158214,0.177857,0.184222,0.176939,0.16041,0.540882,0.544333,0.549377,0.555333,0.559895,0.559781,0.554083,0.546079,0.540433,0.539293,6176.253935,7351.975923,8300.469563,8858.582945,9012.127319,8721.190097,8103.204071,7596.119967,7580.288758,7927.867718,5442.869986,6399.707729,7164.626824,7635.219688,7821.959463,7676.648173,7246.646374,6843.401814,6769.206032,6953.381068,2.407486675,2.294747057,2.241920818,2.329241983,2.506880704,2.689401635,2.843961185,2.956591069,2.975941643,2.840842655,1107.004069,624.8996855,449.6172675,789.5270998,1553.855155,2431.476153,3077.919303,3268.210303,2983.64592,2403.170705,0
